NOME,MISSÃO,MATERIAL NECESSÁRIO,CRIANÇA FAZ,MÃE FAZ,INTERAÇÃO,TEMPO,NÍVEL 1 (INICIANTE),NÍVEL 2 (AVANÇADO),ESPAÇO
Cadeirinha Invisível,"Sentar na cadeirinha invisível para descansar na floresta, sem deixar ela quebrar!",Nenhum,"Imita a mãe, tentando sentar na sua própria cadeirinha imaginária.","Agachamento clássico, com pés na largura dos ombros.","Contam juntos ""1, 2, 3"" antes de levantar da cadeirinha.",2 min,Agachamento parcial (movimento mais curto).,Agachamento completo (quadril abaixo da linha dos joelhos).,✔️ Pequeno / ✔️ Grande
Passo do Caranguejo,Andar de lado como um caranguejo para fugir da onda do mar!,Nenhum,"Imita um caranguejo, andando de lado com as pernas abertas.","Agachamento sumô (pernas bem afastadas, pontas dos pés para fora).","Fazem o som do caranguejo (""ploc, ploc"") juntos enquanto se movem.",2 min,Fazer o agachamento com amplitude menor.,"Agachar até a amplitude máxima, segurando 1 segundo embaixo.",✔️ Pequeno / ✔️ Grande
Passo Silencioso,Dar um passo para trás bem devagar para não assustar o passarinho.,Nenhum,"Tenta imitar o passo para trás da mãe, focando no equilíbrio.","Afundo Reverso (passo para trás, flexionando os joelhos).","Ambos fazem o sinal de ""shhh"" com o dedo na boca a cada passo.",2 min,"Passo curto, com pouca descida do joelho.","Passo longo, quase tocando o joelho de trás no chão.",✔️ Pequeno / ✔️ Grande
Reverência do Rei,Fazer a reverência (cumprimento) para o rei e a rainha do castelo.,Nenhum,"Inclina o tronco para frente, imitando um cumprimento real.","Exercício ""Bom Dia"" (inclinação de tronco com costas retas).","Um é o rei/rainha e o outro faz a reverência, depois trocam os papéis.",2 min,"Inclinação curta, com a mão na lombar para garantir a postura.",Inclinação até o tronco ficar quase paralelo ao chão.,✔️ Pequeno / ✔️ Grande
Ponte Levadiça,Levantar a ponte bem alto para os barquinhos passarem por baixo!,Tapete,Passa por baixo do quadril da mãe com um carrinho ou engatinhando.,"Elevação pélvica, deitada de barriga para cima.","A criança avisa ""Barquinho vindo!"" e a mãe tem que subir a ponte.",2-3 min,Subir e descer devagar.,"Segurar 3 segundos no topo, contraindo forte o glúteo.",✔️ Pequeno / ✔️ Grande
Escada Mágica,"Subir a escada mágica, degrau por degrau, para alcançar o topo da torre.",Cadeira firme ou degrau para a mãe; almofada para a criança.,Sobe e desce da almofada ou de um degrau baixo.,"Step-Up na cadeira, alternando as pernas.","Contam os ""degraus"" juntos a cada subida.",2-3 min,Usar um apoio mais baixo (um livro grosso).,Fazer o movimento sem apoiar as mãos em nada.,✔️ Pequeno / ✔️ Grande
Pega-Pega Lateral,Desviar de um lado para o outro para não ser pego na brincadeira!,Nenhum,Corre de um lado para o outro.,"Afundo Lateral, alternando os lados.","A mãe tenta ""pegar"" a criança ao se mover para o lado dela.",2 min,Dar um passo lateral e agachar pouco.,Agachar o máximo possível na lateral.,✔️ Pequeno / ✔️ Grande
Ponta do Pé Curiosa,Ficar na ponta do pé para conseguir espiar por cima do muro!,Nenhum,"Fica na ponta dos pés, tentando ver algo longe.","Elevação de Panturrilha, em pé.","A cada subida, um dos dois diz o que ""viu"" do outro lado do muro.",2 min,Fazer o movimento livre.,Segurar 2 segundos na posição mais alta.,✔️ Pequeno / ✔️ Grande
Muro do Castelo,Segurar o muro do castelo com as costas para ele não cair!,Parede livre,"Tenta ""empurrar"" os joelhos da mãe (de leve) para testar a força do muro.",Agachamento Isométrico na parede.,"A criança é o ""dragão"" que testa a força do muro.",30-45s,Posição mais alta (joelhos menos flexionados).,Posição a 90 graus (como se estivesse sentada).,✔️ Pequeno / ✔️ Grande
Cachorrinho no Poste,Imitar o cachorrinho feliz que levanta a patinha no poste!,Tapete,"Em quatro apoios, imita o cachorrinho.","Exercício ""Hidrante"" (elevação lateral de perna).","Fazem o som do cachorrinho (""au au!"") e trocam de ""patinha"" (perna) juntos.",2 min,Movimento com amplitude curta.,Segurar 2 segundos na posição mais alta.,✔️ Pequeno / ✔️ Grande
Coice de Cavalinho,Ser um cavalinho forte e dar um coice para o céu!,Tapete,"Em quatro apoios, imita o coice.",Elevação de perna em quatro apoios (coice de glúteo).,Relincham como cavalinhos a cada coice.,2 min,Movimento lento e controlado.,Pulsar 3 vezes no topo antes de descer a perna.,✔️ Pequeno / ✔️ Grande
